parent_race_name,stage_number,name,start_date
Paris-Nice,1,Stage 1,2026-03-08
Paris-Nice,2,Stage 2,2026-03-09
Tirreno-Adriatico,1,Stage 1,2026-03-09
Paris-Nice,3,Stage 3,2026-03-10
Tirreno-Adriatico,2,Stage 2,2026-03-10
Paris-Nice,4,Stage 4,2026-03-11
Tirreno-Adriatico,3,Stage 3,2026-03-11
Paris-Nice,5,Stage 5,2026-03-12
Tirreno-Adriatico,4,Stage 4,2026-03-12
Paris-Nice,6,Stage 6,2026-03-13
Tirreno-Adriatico,5,Stage 5,2026-03-13
Paris-Nice,7,Stage 7,2026-03-14
Tirreno-Adriatico,6,Stage 6,2026-03-14
Paris-Nice,8,Stage 8,2026-03-15
Tirreno-Adriatico,7,Stage 7,2026-03-15
Tour de Romandie,1,Stage 1,2026-04-28
Tour de Romandie,2,Stage 2,2026-04-29
Tour de Romandie,3,Stage 3,2026-04-30
Tour de Romandie,4,Stage 4,2026-05-01
Tour de Romandie,5,Stage 5,2026-05-02
Tour de Romandie,6,Stage 6,2026-05-03
Giro d'Italia,1,Stage 1,2026-05-08
Giro d'Italia,2,Stage 2,2026-05-09
Giro d'Italia,3,Stage 3,2026-05-10
Giro d'Italia,4,Stage 4,2026-05-11
Giro d'Italia,5,Stage 5,2026-05-12
Giro d'Italia,6,Stage 6,2026-05-13
Giro d'Italia,7,Stage 7,2026-05-14
Giro d'Italia,8,Stage 8,2026-05-15
Giro d'Italia,9,Stage 9,2026-05-16
Giro d'Italia,10,Stage 10,2026-05-17
Giro d'Italia,11,Stage 11,2026-05-19
Giro d'Italia,12,Stage 12,2026-05-20
Giro d'Italia,13,Stage 13,2026-05-21
Giro d'Italia,14,Stage 14,2026-05-22
Giro d'Italia,15,Stage 15,2026-05-23
Giro d'Italia,16,Stage 16,2026-05-24
Giro d'Italia,17,Stage 17,2026-05-26
Giro d'Italia,18,Stage 18,2026-05-27
Giro d'Italia,19,Stage 19,2026-05-28
Giro d'Italia,20,Stage 20,2026-05-29
Giro d'Italia,21,Stage 21,2026-05-30
Tour Auvergne - Rhône-Alpes,1,Stage 1,2026-06-07
Tour Auvergne - Rhône-Alpes,2,Stage 2,2026-06-08
Tour Auvergne - Rhône-Alpes,3,Stage 3,2026-06-09
Tour Auvergne - Rhône-Alpes,4,Stage 4,2026-06-10
Tour Auvergne - Rhône-Alpes,5,Stage 5,2026-06-11
Tour Auvergne - Rhône-Alpes,6,Stage 6,2026-06-12
Tour Auvergne - Rhône-Alpes,7,Stage 7,2026-06-13
Tour Auvergne - Rhône-Alpes,8,Stage 8,2026-06-14
Tour de Suisse,1,Stage 1,2026-06-17
Tour de Suisse,2,Stage 2,2026-06-18
Tour de Suisse,3,Stage 3,2026-06-19
Tour de Suisse,4,Stage 4,2026-06-20
Tour de Suisse,5,Stage 5,2026-06-21
Tour de France,1,Stage 1,2026-07-04
Tour de France,2,Stage 2,2026-07-05
Tour de France,3,Stage 3,2026-07-06
Tour de France,4,Stage 4,2026-07-07
Tour de France,5,Stage 5,2026-07-08
Tour de France,6,Stage 6,2026-07-09
Tour de France,7,Stage 7,2026-07-10
Tour de France,8,Stage 8,2026-07-11
Tour de France,9,Stage 9,2026-07-12
Tour de France,10,Stage 10,2026-07-14
Tour de France,11,Stage 11,2026-07-15
Tour de France,12,Stage 12,2026-07-16
Tour de France,13,Stage 13,2026-07-17
Tour de France,14,Stage 14,2026-07-18
Tour de France,15,Stage 15,2026-07-19
Tour de France,16,Stage 16,2026-07-21
Tour de France,17,Stage 17,2026-07-22
Tour de France,18,Stage 18,2026-07-23
Tour de France,19,Stage 19,2026-07-24
Tour de France,20,Stage 20,2026-07-25
Tour de France,21,Stage 21,2026-07-26
Renewi Tour,1,Stage 1,2026-08-19
Renewi Tour,2,Stage 2,2026-08-20
Renewi Tour,3,Stage 3,2026-08-21
Renewi Tour,4,Stage 4,2026-08-22
La Vuelta Ciclista a España,1,Stage 1,2026-08-22
Renewi Tour,5,Stage 5,2026-08-23
La Vuelta Ciclista a España,2,Stage 2,2026-08-23
La Vuelta Ciclista a España,3,Stage 3,2026-08-24
La Vuelta Ciclista a España,4,Stage 4,2026-08-25
La Vuelta Ciclista a España,5,Stage 5,2026-08-26
La Vuelta Ciclista a España,6,Stage 6,2026-08-27
La Vuelta Ciclista a España,7,Stage 7,2026-08-28
La Vuelta Ciclista a España,8,Stage 8,2026-08-29
La Vuelta Ciclista a España,9,Stage 9,2026-08-30
La Vuelta Ciclista a España,10,Stage 10,2026-09-01
La Vuelta Ciclista a España,11,Stage 11,2026-09-02
La Vuelta Ciclista a España,12,Stage 12,2026-09-03
La Vuelta Ciclista a España,13,Stage 13,2026-09-04
La Vuelta Ciclista a España,14,Stage 14,2026-09-05
La Vuelta Ciclista a España,15,Stage 15,2026-09-06
La Vuelta Ciclista a España,16,Stage 16,2026-09-08
La Vuelta Ciclista a España,17,Stage 17,2026-09-09
La Vuelta Ciclista a España,18,Stage 18,2026-09-10
La Vuelta Ciclista a España,19,Stage 19,2026-09-11
La Vuelta Ciclista a España,20,Stage 20,2026-09-12
La Vuelta Ciclista a España,21,Stage 21,2026-09-13
