name,team,nationality,gender,specialty
"Jonas ABRAHAMSEN","UNO-X MOBILITY (UXM)","NOR","M",""
"Pascal ACKERMANN","TEAM JAYCO ALULA (JAY)","GER","M",""
"Roger ADRIA OLIVERAS","MOVISTAR TEAM (MOV)","ESP","M",""
"Toon AERTS","LOTTO INTERMARCHÉ (LOI)","BEL","M",""
"Edoardo AFFINI","TEAM VISMA | LEASE A BIKE (TVL)","ITA","M",""
"Mattia AGOSTINACCHIO","EF EDUCATION - EASYPOST (EFE)","ITA","M",""
"Vincenzo ALBANESE","EF EDUCATION - EASYPOST (EFE)","ITA","M",""
"Giovanni ALEOTTI","RED BULL - BORA - HANSGROHE (RBH)","ITA","M",""
"Rui Filipe ALVES OLIVEIRA","UAE TEAM EMIRATES XRG (UAD)","POR","M",""
"Jorge ARCAS","MOVISTAR TEAM (MOV)","ESP","M",""
"Thymen ARENSMAN","INEOS GRENADIERS (IGD)","NED","M",""
"Bruno ARMIRAIL","TEAM VISMA | LEASE A BIKE (TVL)","FRA","M",""
"Nikias ARNDT","BAHRAIN VICTORIOUS (TBV)","GER","M",""
"Igor ARRIETA LIZARRAGA","UAE TEAM EMIRATES XRG (UAD)","ESP","M",""
"Huub ARTZ","LOTTO INTERMARCHÉ (LOI)","NED","M",""
"Kasper ASGREEN","EF EDUCATION - EASYPOST (EFE)","DEN","M",""
"Lewis ASKEY","NSN CYCLING TEAM (NSN)","GBR","M",""
"Andrew AUGUST","INEOS GRENADIERS (IGD)","USA","M",""
"Orluis Alberto AULAR SANABRIA","MOVISTAR TEAM (MOV)","VEN","M",""
"Juan AYUSO PESQUERA","LIDL-TREK (LTK)","ESP","M",""
"Andrea BAGIOLI","LIDL-TREK (LTK)","ITA","M",""
"Davide BALLERINI","XDS ASTANA TEAM (XAT)","ITA","M",""
"Maurice BALLERSTEDT","ALPECIN-PREMIER TECH (APT)","GER","M",""
"Warren BARGUIL","TEAM PICNIC POSTNL (TPP)","FRA","M",""
"Filippo BARONCINI","UAE TEAM EMIRATES XRG (UAD)","ITA","M",""
"Louis BARRE","TEAM VISMA | LEASE A BIKE (TVL)","FRA","M",""
"Jon BARRENETXEA GOLZARRI","MOVISTAR TEAM (MOV)","ESP","M",""
"Cyril BARTHE","GROUPAMA-FDJ UNITED (GFC)","FRA","M",""
"Ayco BASTIAENS","SOUDAL QUICK-STEP (SOQ)","BEL","M",""
"Samuele BATTISTELLA","EF EDUCATION - EASYPOST (EFE)","ITA","M",""
"Alex BAUDIN","EF EDUCATION - EASYPOST (EFE)","FRA","M",""
"Phil BAUHAUS","BAHRAIN VICTORIOUS (TBV)","GER","M",""
"Tobias BAYER","ALPECIN-PREMIER TECH (APT)","AUT","M",""
"Niklas BEHRENS","TEAM VISMA | LEASE A BIKE (TVL)","GER","M",""
"Lennert BELMANS","ALPECIN-PREMIER TECH (APT)","BEL","M",""
"Markel BELOKI FERNANDEZ","EF EDUCATION - EASYPOST (EFE)","ESP","M",""
"George BENNETT","NSN CYCLING TEAM (NSN)","NZL","M",""
"Tiesj BENOOT","DECATHLON CMA CGM TEAM (DCT)","BEL","M",""
"Jenno BERCKMOES","LOTTO INTERMARCHÉ (LOI)","BEL","M",""
"Egan Arley BERNAL GOMEZ","INEOS GRENADIERS (IGD)","COL","M",""
"Julien BERNARD","LIDL-TREK (LTK)","FRA","M",""
"Clément BERTHET","GROUPAMA-FDJ UNITED (GFC)","FRA","M",""
"Alberto BETTIOL","XDS ASTANA TEAM (XAT)","ITA","M",""
"Cedric BEULLENS","LOTTO INTERMARCHÉ (LOI)","BEL","M",""
"Carl-Frederik BÉVORT","UNO-X MOBILITY (UXM)","DEN","M",""
"Frits BIESTERBOS","TEAM PICNIC POSTNL (TPP)","NED","M",""
"Pello BILBAO LOPEZ DE ARMENTIA","BAHRAIN VICTORIOUS (TBV)","ESP","M",""
"Léo BISIAUX","DECATHLON CMA CGM TEAM (DCT)","FRA","M",""
