"name","team","nationality","gender","specialty"
"Katrine AALERUD","UNO-X MOBILITY (UXM)","NOR","F",""
"Kamilla AASEBØ","UNO-X MOBILITY (UXM)","NOR","F",""
"Loes ADEGEEST","LIDL - TREK (LTK)","NED","F",""
"Anniina AHTOSALO","UNO-X MOBILITY (UXM)","FIN","F",""
"Wilma AINTILA","CANYON//SRAM ZONDACRYPTO (CSZ)","FIN","F",""
"Ceylin del Carmen ALVARADO","FENIX-PREMIER TECH (FPC)","NED","F",""
"Alena AMIALIUSIK","UAE TEAM ADQ (UAD)","BLR","F",""
"Susanne ANDERSEN","UNO-X MOBILITY (UXM)","NOR","F",""
"Minke Solbjørk ANDERSON","EF EDUCATION - OATLY (EFO)","DEN","F",""
"Caroline ANDERSSON","LIV-ALULA-JAYCO (LIV)","SWE","F",""
"Megan ARENS","TEAM PICNIC POSTNL (TPP)","NED","F",""
"Elynor BACKSTEDT","UAE TEAM ADQ (UAD)","GBR","F",""
"Jane Zoe BACKSTEDT","CANYON//SRAM ZONDACRYPTO (CSZ)","GBR","F",""
"Georgia BAKER","LIV-ALULA-JAYCO (LIV)","AUS","F",""
"Elisa BALSAMO","LIDL - TREK (LTK)","ITA","F",""
"Francesca BARALE","MOVISTAR TEAM (MOV)","ITA","F",""
"Rachele BARBIERI","TEAM PICNIC POSTNL (TPP)","ITA","F",""
"Olivia BARIL","MOVISTAR TEAM (MOV)","CAN","F",""
"Elinor BARKER","UNO-X MOBILITY (UXM)","GBR","F",""
"Fauve BASTIAENSSEN","AG INSURANCE - SOUDAL TEAM (AGS)","BEL","F",""
"Ricarda BAUERNFEIND","LIDL - TREK (LTK)","GER","F",""
"Teuntje BEEKHUIS","UNO-X MOBILITY (UXM)","NED","F",""
"Mireia BENITO PELLICER","AG INSURANCE - SOUDAL TEAM (AGS)","ESP","F",""
"Juliette BERTHET","FDJ UNITED - SUEZ (TFS)","FRA","F",""
"Sofia BERTIZZOLO","FDJ UNITED - SUEZ (TFS)","ITA","F",""
"Nina BERTON","EF EDUCATION - OATLY (EFO)","LUX","F",""
"Aude BIANNIC","MOVISTAR TEAM (MOV)","FRA","F",""
"Emma Cecilie Norsgaard BJERG","LIDL - TREK (LTK)","DEN","F",""
"Iurani BLANCO CALBET","HUMAN POWERED HEALTH (HPH)","ESP","F",""
"Paula BLASI CAIROL","UAE TEAM ADQ (UAD)","ESP","F",""
"Giada BORGHESI","HUMAN POWERED HEALTH (HPH)","ITA","F",""
"Letizia BORGHESI","AG INSURANCE - SOUDAL TEAM (AGS)","ITA","F",""
"Shari BOSSUYT","AG INSURANCE - SOUDAL TEAM (AGS)","BEL","F",""
"Neve Summer BRADBURY","CANYON//SRAM ZONDACRYPTO (CSZ)","AUS","F",""
"Lucinda BRAND","LIDL - TREK (LTK)","NED","F",""
"Mischa BREDEWOLD","TEAM SD WORX - PROTIME (SDW)","NED","F",""
"Nina BUIJSMAN","HUMAN POWERED HEALTH (HPH)","NED","F",""
"Marion BUNEL","TEAM VISMA | LEASE A BIKE (TVL)","FRA","F",""
"Kim CADZOW","EF EDUCATION - OATLY (EFO)","NZL","F",""
"Sara CASASOLA","FENIX-PREMIER TECH (FPC)","ITA","F",""
"Alana CASTRIQUE","AG INSURANCE - SOUDAL TEAM (AGS)","BEL","F",""
"Valentina CAVALLAR","TEAM SD WORX - PROTIME (SDW)","AUT","F",""
"Elena CECCHINI","TEAM SD WORX - PROTIME (SDW)","ITA","F",""
"Elise CHABBEY","FDJ UNITED - SUEZ (TFS)","SUI","F",""
"Brodie CHAPMAN","UAE TEAM ADQ (UAD)","AUS","F",""
"Viktória CHLADOŇOVÁ","TEAM VISMA | LEASE A BIKE (TVL)","SVK","F",""
"Henrietta CHRISTIE","EF EDUCATION - OATLY (EFO)","NZL","F",""
"Eleonora CIABOCCO","TEAM PICNIC POSTNL (TPP)","ITA","F",""
"Carlotta CIPRESSI","HUMAN POWERED HEALTH (HPH)","ITA","F",""
"Lotte CLAES","FENIX-PREMIER TECH (FPC)","BEL","F",""
"Lene Robyn CLAY","TEAM PICNIC POSTNL (TPP)","GBR","F",""
